min,max,mean,median,sd,sum,count,id
199,295,247.0,247.0,48.0,494,2,134
--,--,--,--,--,--,0,135
230,265,247.5,247.5,17.5,495,2,136
143,262,202.5,202.5,59.5,405,2,137
116,293,195.93333333333334,203.0,47.85041506844243,2939,15,138
177,302,257.1666666666667,264.5,32.554654898425134,4629,18,139
114,329,198.8,183.0,69.73205862442325,1988,10,140
184,440,333.1818181818182,349.0,74.79282680945252,3665,11,141
448,1284,748.8333333333334,668.5,246.6721283179129,17972,24,142
38,202,126.52564102564102,125.0,27.66252256218901,29607,234,143
118,343,232.73333333333332,208.0,70.7987444960871,3491,15,144
256,256,256.0,256.0,0.0,256,1,145
113,152,131.375,133.0,12.83488897497754,1051,8,146
89,143,120.8,116.0,19.84338680769994,604,5,147
275,356,307.3333333333333,291.0,35.02697373295171,922,3,148
--,--,--,--,--,--,0,149
172,303,265.0,295.0,48.822126131499026,1325,5,150
154,199,179.57142857142858,178.0,16.158652196774536,1257,7,151
297,670,490.75,499.5,117.1203974549267,3926,8,152
128,302,222.1,231.5,44.74695520367839,2221,10,153
50,356,202.625,199.5,77.13965284901577,9726,48,154
73,365,228.3,229.5,75.23746850251321,13698,60,155
89,249,180.44,180.5,37.72487773340028,9022,50,156
12,254,81.44444444444444,76.0,49.82661294955429,1466,18,157
103,287,198.13513513513513,199.0,50.28038259232309,7331,37,158
57,178,114.42857142857143,107.0,36.90473118278292,801,7,159
91,349,210.90625,211.0,72.82957820101322,6749,32,160
37,211,129.65,137.5,50.248656698463094,2593,20,161
1,272,82.98518518518519,74.0,47.49284315443362,11203,135,162
68,280,148.41558441558442,143.0,48.717406859889046,11428,77,163
12,356,147.2250803858521,138.0,75.54739668508677,45787,311,164
14,369,117.65168539325843,99.5,63.90004503587157,20942,178,165
103,368,218.14776632302406,218.0,57.19889474721328,63481,291,166
91,315,210.0222222222222,217.0,49.294799765803056,9451,45,167
1,370,170.5909090909091,151.0,92.0755346071883,26271,154,168
10,459,177.61739130434782,155.0,97.16580026439752,20426,115,169
21,421,170.80263157894737,138.0,86.2425465485572,25962,152,170
21,412,111.63974358974359,101.5,47.598881800439415,87079,780,171
30,350,202.4877049180328,197.0,55.19284236955875,49407,244,172
48,396,133.59420289855072,126.0,47.80661087849985,138270,1035,173
34,507,160.0632603406326,139.0,80.74498553549236,65786,411,174
97,291,186.5,180.0,60.74331238910173,1492,8,175
121,339,226.26315789473685,235.0,60.203900997284705,4299,19,176
275,378,327.3333333333333,329.0,42.06608557443342,982,3,177
219,219,219.0,219.0,0.0,219,1,178
380,965,594.8260869565217,512.0,192.86279244783077,13681,23,179
571,697,632.4,636.0,48.68511066024191,3162,5,180
212,340,270.0,260.0,39.50604096498753,2970,11,181
165,224,196.33333333333334,191.5,19.524912860809962,1178,6,182
480,843,647.4285714285714,638.0,131.43478246193558,4532,7,183
228,332,280.0,280.0,42.45782220824175,840,3,184
229,381,310.5,322.0,49.51683215500227,1863,6,185
439,495,467.6666666666667,469.0,22.88133640230735,1403,3,186
281,362,315.1666666666667,317.0,25.86771905075685,1891,6,187
256,316,292.3333333333333,305.0,26.08107018935807,877,3,188
258,341,305.6666666666667,318.0,34.988887124660344,917,3,189
360,370,363.6666666666667,361.0,4.4969125210773475,1091,3,190
513,536,527.0,529.5,9.082951062292475,2108,4,191
169,187,178.0,178.0,9.0,356,2,192
146,367,240.9090909090909,252.0,70.20807328020766,2650,11,193
109,153,128.5,126.0,18.607794065928395,514,4,194
293,400,342.5,338.5,40.70933553866975,1370,4,195
1180,1376,1256.5,1235.0,77.61926307302846,5026,4,196
234,498,347.0,344.5,76.86459956746452,4164,12,197
274,386,325.125,323.5,37.062236508338245,2601,8,198
231,402,312.625,322.5,60.545308447475925,2501,8,199
192,364,290.3,302.0,48.08128534055636,2903,10,200
107,337,214.35,206.0,62.77680702297624,4287,20,201
135,204,158.5,147.5,27.28094573140748,634,4,202
249,292,265.0,259.5,16.47725705328408,1060,4,203
249,249,249.0,249.0,0.0,249,1,204
--,--,--,--,--,--,0,205
775,1080,936.2,896.0,111.17265850918561,4681,5,206
6164,6400,6269.0,6256.0,91.01098834756164,25076,4,207
124,395,246.88235294117646,233.0,73.70639875881253,8394,34,208
123,173,144.5,133.5,20.43281674170255,1156,8,209
243,410,324.8333333333333,329.0,52.55922585257723,1949,6,210
160,217,195.5,202.5,22.588713996153036,782,4,211
216,246,226.33333333333334,217.0,13.912424503139471,679,3,212
227,267,251.5,256.0,15.435349040433131,1006,4,213
125,382,259.3157894736842,260.0,57.04296869035053,4927,19,214
263,309,286.0,286.0,23.0,572,2,215
